,Unnamed: 0,X,Y,com_insee,com_nom,Type,Type_détaillé,geometry,0
45,9,2.1937825,48.997318899693,95424.0,montigny-lès-cormeilles,drinking_water,Gratuit,POINT (2.1937825 48.997318899693),10862
46,9,2.1937825,48.997318899693,95424.0,montigny-lès-cormeilles,drinking_water,Gratuit,POINT (2.1937825 48.997318899693),10863
47,10,2.4974202,48.7929222997437,94068.0,saint-maur-des-fossés,drinking_water,Missing,POINT (2.4974202 48.7929222997437),14917
48,10,2.4974202,48.7929222997437,94068.0,saint-maur-des-fossés,drinking_water,Missing,POINT (2.4974202 48.7929222997437),15042
49,10,2.4974202,48.7929222997437,94068.0,saint-maur-des-fossés,drinking_water,Missing,POINT (2.4974202 48.7929222997437),15043
50,10,2.4974202,48.7929222997437,94068.0,saint-maur-des-fossés,drinking_water,Missing,POINT (2.4974202 48.7929222997437),15169
51,11,2.4425257,48.594040899793,91659.0,villabé,drinking_water,Gratuit,POINT (2.4425257 48.594040899793),14183
52,11,2.4425257,48.594040899793,91659.0,villabé,drinking_water,Gratuit,POINT (2.4425257 48.594040899793),14309
53,11,2.4425257,48.594040899793,91659.0,villabé,drinking_water,Gratuit,POINT (2.4425257 48.594040899793),14310
54,11,2.4425257,48.594040899793,91659.0,villabé,drinking_water,Gratuit,POINT (2.4425257 48.594040899793),14435
55,12,2.3611019,48.8915035997192,75056.0,paris,drinking_water,Gratuit,POINT (2.3611019 48.8915035997192),13016
56,12,2.3611019,48.8915035997192,75056.0,paris,drinking_water,Gratuit,POINT (2.3611019 48.8915035997192),13141
57,12,2.3611019,48.8915035997192,75056.0,paris,drinking_water,Gratuit,POINT (2.3611019 48.8915035997192),13142
58,12,2.3611019,48.8915035997192,75056.0,paris,drinking_water,Gratuit,POINT (2.3611019 48.8915035997192),13268
59,13,2.3705859,48.8991619997173,75056.0,paris,drinking_water,Missing,POINT (2.3705859 48.8991619997173),13141
60,13,2.3705859,48.8991619997173,75056.0,paris,drinking_water,Missing,POINT (2.3705859 48.8991619997173),13267
61,13,2.3705859,48.8991619997173,75056.0,paris,drinking_water,Missing,POINT (2.3705859 48.8991619997173),13268
62,13,2.3705859,48.8991619997173,75056.0,paris,drinking_water,Missing,POINT (2.3705859 48.8991619997173),13393
63,14,2.3660537,48.9002247997171,75056.0,paris,drinking_water,Missing,POINT (2.3660537 48.9002247997171),13141
64,14,2.3660537,48.9002247997171,75056.0,paris,drinking_water,Missing,POINT (2.3660537 48.9002247997171),13266
65,14,2.3660537,48.9002247997171,75056.0,paris,drinking_water,Missing,POINT (2.3660537 48.9002247997171),13267
66,14,2.3660537,48.9002247997171,75056.0,paris,drinking_water,Missing,POINT (2.3660537 48.9002247997171),13393
67,15,2.3267917,48.9736756996989,95197.0,deuil-la-barre,drinking_water,Gratuit,POINT (2.3267917 48.9736756996989),12503
68,15,2.3267917,48.9736756996989,95197.0,deuil-la-barre,drinking_water,Gratuit,POINT (2.3267917 48.9736756996989),12628
69,15,2.3267917,48.9736756996989,95197.0,deuil-la-barre,drinking_water,Gratuit,POINT (2.3267917 48.9736756996989),12629
70,15,2.3267917,48.9736756996989,95197.0,deuil-la-barre,drinking_water,Gratuit,POINT (2.3267917 48.9736756996989),12754
71,15,2.3267917,48.9736756996989,95197.0,deuil-la-barre,drinking_water,Gratuit,POINT (2.3267917 48.9736756996989),12755
72,16,2.2946768,48.7953188997431,92032.0,fontenay-aux-roses,drinking_water,Missing,POINT (2.2946768 48.7953188997431),12144
73,16,2.2946768,48.7953188997431,92032.0,fontenay-aux-roses,drinking_water,Missing,POINT (2.2946768 48.7953188997431),12145
74,16,2.2946768,48.7953188997431,92032.0,fontenay-aux-roses,drinking_water,Missing,POINT (2.2946768 48.7953188997431),12270
75,16,2.2946768,48.7953188997431,92032.0,fontenay-aux-roses,drinking_water,Missing,POINT (2.2946768 48.7953188997431),12271
76,16,2.2946768,48.7953188997431,92032.0,fontenay-aux-roses,drinking_water,Missing,POINT (2.2946768 48.7953188997431),12397
77,17,2.4562346,48.7910045997442,94028.0,créteil,drinking_water,Gratuit,POINT (2.4562346 48.7910045997442),14413
