,Unnamed: 0,Unnamed: 0.1,X,Y,name,com_insee,com_nom,Type,type,Type_détaillé,geometry,0
42,42,8,2.3386948,48.8538116997286,hôtel le régent,75056.0,paris,hosting,hotel,Hôtel,POINT (2.3386948 48.8538116997286),12768
43,43,8,2.3386948,48.8538116997286,hôtel le régent,75056.0,paris,hosting,hotel,Hôtel,POINT (2.3386948 48.8538116997286),12769
44,44,8,2.3386948,48.8538116997286,hôtel le régent,75056.0,paris,hosting,hotel,Hôtel,POINT (2.3386948 48.8538116997286),12894
45,45,8,2.3386948,48.8538116997286,hôtel le régent,75056.0,paris,hosting,hotel,Hôtel,POINT (2.3386948 48.8538116997286),12895
46,46,8,2.3386948,48.8538116997286,hôtel le régent,75056.0,paris,hosting,hotel,Hôtel,POINT (2.3386948 48.8538116997286),13020
47,47,9,1.8191311,48.6457495997802,hôtel mercure relays du château,78517.0,rambouillet,hosting,hotel,Hôtel,POINT (1.8191311 48.6457495997802),5483
48,48,9,1.8191311,48.6457495997802,hôtel mercure relays du château,78517.0,rambouillet,hosting,hotel,Hôtel,POINT (1.8191311 48.6457495997802),5484
49,49,9,1.8191311,48.6457495997802,hôtel mercure relays du château,78517.0,rambouillet,hosting,hotel,Hôtel,POINT (1.8191311 48.6457495997802),5609
50,50,9,1.8191311,48.6457495997802,hôtel mercure relays du château,78517.0,rambouillet,hosting,hotel,Hôtel,POINT (1.8191311 48.6457495997802),5610
51,51,9,1.8191311,48.6457495997802,hôtel mercure relays du château,78517.0,rambouillet,hosting,hotel,Hôtel,POINT (1.8191311 48.6457495997802),5735
52,52,10,2.3246455,48.8907108997194,ambassadeur,75056.0,paris,hosting,hotel,Hôtel,POINT (2.3246455 48.8907108997194),12512
53,53,10,2.3246455,48.8907108997194,ambassadeur,75056.0,paris,hosting,hotel,Hôtel,POINT (2.3246455 48.8907108997194),12638
54,54,10,2.3246455,48.8907108997194,ambassadeur,75056.0,paris,hosting,hotel,Hôtel,POINT (2.3246455 48.8907108997194),12639
55,55,10,2.3246455,48.8907108997194,ambassadeur,75056.0,paris,hosting,hotel,Hôtel,POINT (2.3246455 48.8907108997194),12764
56,56,11,2.3500417,48.8171115997377,hôtel ibis,94037.0,gentilly,hosting,hotel,Hôtel,POINT (2.3500417 48.8171115997377),12898
57,57,11,2.3500417,48.8171115997377,hôtel ibis,94037.0,gentilly,hosting,hotel,Hôtel,POINT (2.3500417 48.8171115997377),12899
58,58,11,2.3500417,48.8171115997377,hôtel ibis,94037.0,gentilly,hosting,hotel,Hôtel,POINT (2.3500417 48.8171115997377),13024
59,59,11,2.3500417,48.8171115997377,hôtel ibis,94037.0,gentilly,hosting,hotel,Hôtel,POINT (2.3500417 48.8171115997377),13025
60,60,11,2.3500417,48.8171115997377,hôtel ibis,94037.0,gentilly,hosting,hotel,Hôtel,POINT (2.3500417 48.8171115997377),13150
61,61,12,1.7496372,48.9900419996948,akena,78335.0,limay,hosting,hotel,Hôtel,POINT (1.7496372 48.9900419996948),4437
