,Unnamed: 0,X,Y,com_insee,com_nom,Type,connexion_type,Type_détaillé,geometry,0
45,9,2.3246994,48.8324347997339,75056.0,paris,internet_access,yes,Autre,POINT (2.3246994 48.8324347997339),12519
46,9,2.3246994,48.8324347997339,75056.0,paris,internet_access,yes,Autre,POINT (2.3246994 48.8324347997339),12644
47,9,2.3246994,48.8324347997339,75056.0,paris,internet_access,yes,Autre,POINT (2.3246994 48.8324347997339),12645
48,9,2.3246994,48.8324347997339,75056.0,paris,internet_access,yes,Autre,POINT (2.3246994 48.8324347997339),12770
49,9,2.3246994,48.8324347997339,75056.0,paris,internet_access,yes,Autre,POINT (2.3246994 48.8324347997339),12771
50,10,2.7960884,48.8729882997238,77132.0,coupvray,internet_access,wlan,Wifi,POINT (2.7960884 48.8729882997238),19066
51,10,2.7960884,48.8729882997238,77132.0,coupvray,internet_access,wlan,Wifi,POINT (2.7960884 48.8729882997238),19192
52,10,2.7960884,48.8729882997238,77132.0,coupvray,internet_access,wlan,Wifi,POINT (2.7960884 48.8729882997238),19318
53,11,1.8191311,48.6457495997802,78517.0,rambouillet,internet_access,yes,Autre,POINT (1.8191311 48.6457495997802),5483
54,11,1.8191311,48.6457495997802,78517.0,rambouillet,internet_access,yes,Autre,POINT (1.8191311 48.6457495997802),5484
55,11,1.8191311,48.6457495997802,78517.0,rambouillet,internet_access,yes,Autre,POINT (1.8191311 48.6457495997802),5609
56,11,1.8191311,48.6457495997802,78517.0,rambouillet,internet_access,yes,Autre,POINT (1.8191311 48.6457495997802),5610
57,11,1.8191311,48.6457495997802,78517.0,rambouillet,internet_access,yes,Autre,POINT (1.8191311 48.6457495997802),5735
58,12,1.819548,48.6449939997803,78517.0,rambouillet,internet_access,wlan,Wifi,POINT (1.819548 48.6449939997803),5483
59,12,1.819548,48.6449939997803,78517.0,rambouillet,internet_access,wlan,Wifi,POINT (1.819548 48.6449939997803),5484
60,12,1.819548,48.6449939997803,78517.0,rambouillet,internet_access,wlan,Wifi,POINT (1.819548 48.6449939997803),5609
61,12,1.819548,48.6449939997803,78517.0,rambouillet,internet_access,wlan,Wifi,POINT (1.819548 48.6449939997803),5610
62,12,1.819548,48.6449939997803,78517.0,rambouillet,internet_access,wlan,Wifi,POINT (1.819548 48.6449939997803),5735
63,13,2.3246455,48.8907108997194,75056.0,paris,internet_access,wlan,Wifi,POINT (2.3246455 48.8907108997194),12512
64,13,2.3246455,48.8907108997194,75056.0,paris,internet_access,wlan,Wifi,POINT (2.3246455 48.8907108997194),12638
65,13,2.3246455,48.8907108997194,75056.0,paris,internet_access,wlan,Wifi,POINT (2.3246455 48.8907108997194),12639
66,13,2.3246455,48.8907108997194,75056.0,paris,internet_access,wlan,Wifi,POINT (2.3246455 48.8907108997194),12764
67,14,2.3720352,48.84811589973,75056.0,paris,internet_access,yes,Autre,POINT (2.3720352 48.84811589973),13147
68,14,2.3720352,48.84811589973,75056.0,paris,internet_access,yes,Autre,POINT (2.3720352 48.84811589973),13272
69,14,2.3720352,48.84811589973,75056.0,paris,internet_access,yes,Autre,POINT (2.3720352 48.84811589973),13273
70,14,2.3720352,48.84811589973,75056.0,paris,internet_access,yes,Autre,POINT (2.3720352 48.84811589973),13398
71,14,2.3720352,48.84811589973,75056.0,paris,internet_access,yes,Autre,POINT (2.3720352 48.84811589973),13399
72,15,2.3417404,48.868451199725,75056.0,paris,internet_access,wlan,Wifi,POINT (2.3417404 48.868451199725),12766
73,15,2.3417404,48.868451199725,75056.0,paris,internet_access,wlan,Wifi,POINT (2.3417404 48.868451199725),12767
74,15,2.3417404,48.868451199725,75056.0,paris,internet_access,wlan,Wifi,POINT (2.3417404 48.868451199725),12892
75,15,2.3417404,48.868451199725,75056.0,paris,internet_access,wlan,Wifi,POINT (2.3417404 48.868451199725),12893
76,15,2.3417404,48.868451199725,75056.0,paris,internet_access,wlan,Wifi,POINT (2.3417404 48.868451199725),13018
77,15,2.3417404,48.868451199725,75056.0,paris,internet_access,wlan,Wifi,POINT (2.3417404 48.868451199725),13019
78,16,2.2275553,48.9844605996962,95252.0,franconville,internet_access,wlan,Wifi,POINT (2.2275553 48.9844605996962),11115
79,16,2.2275553,48.9844605996962,95252.0,franconville,internet_access,wlan,Wifi,POINT (2.2275553 48.9844605996962),11116
80,16,2.2275553,48.9844605996962,95252.0,franconville,internet_access,wlan,Wifi,POINT (2.2275553 48.9844605996962),11241
81,16,2.2275553,48.9844605996962,95252.0,franconville,internet_access,wlan,Wifi,POINT (2.2275553 48.9844605996962),11242
82,16,2.2275553,48.9844605996962,95252.0,franconville,internet_access,wlan,Wifi,POINT (2.2275553 48.9844605996962),11367
83,16,2.2275553,48.9844605996962,95252.0,franconville,internet_access,wlan,Wifi,POINT (2.2275553 48.9844605996962),11368
84,17,2.3394917,48.8444121997309,75056.0,paris,internet_access,wlan,Wifi,POINT (2.3394917 48.8444121997309),12769
85,17,2.3394917,48.8444121997309,75056.0,paris,internet_access,wlan,Wifi,POINT (2.3394917 48.8444121997309),12770
86,17,2.3394917,48.8444121997309,75056.0,paris,internet_access,wlan,Wifi,POINT (2.3394917 48.8444121997309),12895
87,17,2.3394917,48.8444121997309,75056.0,paris,internet_access,wlan,Wifi,POINT (2.3394917 48.8444121997309),12896
88,17,2.3394917,48.8444121997309,75056.0,paris,internet_access,wlan,Wifi,POINT (2.3394917 48.8444121997309),13021
89,18,2.34833,48.8427999997313,75056.0,paris,internet_access,wlan,Wifi,POINT (2.34833 48.8427999997313),12895
90,18,2.34833,48.8427999997313,75056.0,paris,internet_access,wlan,Wifi,POINT (2.34833 48.8427999997313),12896
91,18,2.34833,48.8427999997313,75056.0,paris,internet_access,wlan,Wifi,POINT (2.34833 48.8427999997313),13021
92,18,2.34833,48.8427999997313,75056.0,paris,internet_access,wlan,Wifi,POINT (2.34833 48.8427999997313),13022
93,18,2.34833,48.8427999997313,75056.0,paris,internet_access,wlan,Wifi,POINT (2.34833 48.8427999997313),13147
94,19,2.3492453,48.8455000997306,75056.0,paris,internet_access,yes,Autre,POINT (2.3492453 48.8455000997306),12895
95,19,2.3492453,48.8455000997306,75056.0,paris,internet_access,yes,Autre,POINT (2.3492453 48.8455000997306),13021
96,19,2.3492453,48.8455000997306,75056.0,paris,internet_access,yes,Autre,POINT (2.3492453 48.8455000997306),13022
97,19,2.3492453,48.8455000997306,75056.0,paris,internet_access,yes,Autre,POINT (2.3492453 48.8455000997306),13147
98,20,2.34991,48.8448799997308,75056.0,paris,internet_access,wlan,Wifi,POINT (2.34991 48.8448799997308),12895
99,20,2.34991,48.8448799997308,75056.0,paris,internet_access,wlan,Wifi,POINT (2.34991 48.8448799997308),13021
100,20,2.34991,48.8448799997308,75056.0,paris,internet_access,wlan,Wifi,POINT (2.34991 48.8448799997308),13022
101,20,2.34991,48.8448799997308,75056.0,paris,internet_access,wlan,Wifi,POINT (2.34991 48.8448799997308),13147
102,21,2.3734333,48.84800289973,75056.0,paris,internet_access,wlan,Wifi,POINT (2.3734333 48.84800289973),13147
103,21,2.3734333,48.84800289973,75056.0,paris,internet_access,wlan,Wifi,POINT (2.3734333 48.84800289973),13272
104,21,2.3734333,48.84800289973,75056.0,paris,internet_access,wlan,Wifi,POINT (2.3734333 48.84800289973),13273
105,21,2.3734333,48.84800289973,75056.0,paris,internet_access,wlan,Wifi,POINT (2.3734333 48.84800289973),13398
106,21,2.3734333,48.84800289973,75056.0,paris,internet_access,wlan,Wifi,POINT (2.3734333 48.84800289973),13399
107,22,2.376085,48.8467553997303,75056.0,paris,internet_access,yes,Autre,POINT (2.376085 48.8467553997303),13273
108,22,2.376085,48.8467553997303,75056.0,paris,internet_access,yes,Autre,POINT (2.376085 48.8467553997303),13398
109,22,2.376085,48.8467553997303,75056.0,paris,internet_access,yes,Autre,POINT (2.376085 48.8467553997303),13399
110,22,2.376085,48.8467553997303,75056.0,paris,internet_access,yes,Autre,POINT (2.376085 48.8467553997303),13525
111,23,2.784917,48.8691257997248,77111.0,chessy,internet_access,wlan,Wifi,POINT (2.784917 48.8691257997248),18940
112,23,2.784917,48.8691257997248,77111.0,chessy,internet_access,wlan,Wifi,POINT (2.784917 48.8691257997248),18941
113,23,2.784917,48.8691257997248,77111.0,chessy,internet_access,wlan,Wifi,POINT (2.784917 48.8691257997248),19066
114,23,2.784917,48.8691257997248,77111.0,chessy,internet_access,wlan,Wifi,POINT (2.784917 48.8691257997248),19067
115,23,2.784917,48.8691257997248,77111.0,chessy,internet_access,wlan,Wifi,POINT (2.784917 48.8691257997248),19192
116,23,2.784917,48.8691257997248,77111.0,chessy,internet_access,wlan,Wifi,POINT (2.784917 48.8691257997248),19193
117,24,2.7849791,48.8689371997248,77111.0,chessy,internet_access,wlan,Wifi,POINT (2.7849791 48.8689371997248),18940
118,24,2.7849791,48.8689371997248,77111.0,chessy,internet_access,wlan,Wifi,POINT (2.7849791 48.8689371997248),18941
119,24,2.7849791,48.8689371997248,77111.0,chessy,internet_access,wlan,Wifi,POINT (2.7849791 48.8689371997248),19066
120,24,2.7849791,48.8689371997248,77111.0,chessy,internet_access,wlan,Wifi,POINT (2.7849791 48.8689371997248),19067
121,24,2.7849791,48.8689371997248,77111.0,chessy,internet_access,wlan,Wifi,POINT (2.7849791 48.8689371997248),19192
122,24,2.7849791,48.8689371997248,77111.0,chessy,internet_access,wlan,Wifi,POINT (2.7849791 48.8689371997248),19193
123,25,2.1210005,48.8040966997409,78646.0,versailles,internet_access,wlan,Wifi,POINT (2.1210005 48.8040966997409),9624
124,25,2.1210005,48.8040966997409,78646.0,versailles,internet_access,wlan,Wifi,POINT (2.1210005 48.8040966997409),9749
125,25,2.1210005,48.8040966997409,78646.0,versailles,internet_access,wlan,Wifi,POINT (2.1210005 48.8040966997409),9750
126,25,2.1210005,48.8040966997409,78646.0,versailles,internet_access,wlan,Wifi,POINT (2.1210005 48.8040966997409),9875
127,25,2.1210005,48.8040966997409,78646.0,versailles,internet_access,wlan,Wifi,POINT (2.1210005 48.8040966997409),9876
128,26,2.51944,49.0023229996917,95527.0,roissy-en-france,internet_access,yes,Autre,POINT (2.51944 49.0023229996917),15271
129,26,2.51944,49.0023229996917,95527.0,roissy-en-france,internet_access,yes,Autre,POINT (2.51944 49.0023229996917),15272
130,26,2.51944,49.0023229996917,95527.0,roissy-en-france,internet_access,yes,Autre,POINT (2.51944 49.0023229996917),15397
131,26,2.51944,49.0023229996917,95527.0,roissy-en-france,internet_access,yes,Autre,POINT (2.51944 49.0023229996917),15398
132,26,2.51944,49.0023229996917,95527.0,roissy-en-france,internet_access,yes,Autre,POINT (2.51944 49.0023229996917),15524
133,27,2.261054,48.9072119997153,92009.0,bois-colombes,internet_access,wlan,Wifi,POINT (2.261054 48.9072119997153),11628
134,27,2.261054,48.9072119997153,92009.0,bois-colombes,internet_access,wlan,Wifi,POINT (2.261054 48.9072119997153),11754
135,27,2.261054,48.9072119997153,92009.0,bois-colombes,internet_access,wlan,Wifi,POINT (2.261054 48.9072119997153),11755
136,27,2.261054,48.9072119997153,92009.0,bois-colombes,internet_access,wlan,Wifi,POINT (2.261054 48.9072119997153),11880
137,28,2.3206849,48.8797756997221,75056.0,paris,internet_access,wlan,Wifi,POINT (2.3206849 48.8797756997221),12513
138,28,2.3206849,48.8797756997221,75056.0,paris,internet_access,wlan,Wifi,POINT (2.3206849 48.8797756997221),12514
139,28,2.3206849,48.8797756997221,75056.0,paris,internet_access,wlan,Wifi,POINT (2.3206849 48.8797756997221),12639
140,28,2.3206849,48.8797756997221,75056.0,paris,internet_access,wlan,Wifi,POINT (2.3206849 48.8797756997221),12640
