,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,X,Y,name,com_insee,com_nom,Type,Type_détaillé,geometry,0
35,35,35,7,1.83995014379409,48.6385652324295,Missing,78517.0,rambouillet,allotments,Autre,POINT (1.83995014379409 48.6385652324295),5988
36,36,36,8,2.37495511816402,48.8705861228369,jardin partagé centre de la terre,75056.0,paris,allotments,Jardin,POINT (2.37495511816402 48.8705861228369),13270
37,37,37,8,2.37495511816402,48.8705861228369,jardin partagé centre de la terre,75056.0,paris,allotments,Jardin,POINT (2.37495511816402 48.8705861228369),13271
38,38,38,8,2.37495511816402,48.8705861228369,jardin partagé centre de la terre,75056.0,paris,allotments,Jardin,POINT (2.37495511816402 48.8705861228369),13396
39,39,39,8,2.37495511816402,48.8705861228369,jardin partagé centre de la terre,75056.0,paris,allotments,Jardin,POINT (2.37495511816402 48.8705861228369),13397
40,40,40,8,2.37495511816402,48.8705861228369,jardin partagé centre de la terre,75056.0,paris,allotments,Jardin,POINT (2.37495511816402 48.8705861228369),13522
41,41,41,9,2.94034632271164,48.3770365367942,Missing,77482.0,varennes-sur-seine,allotments,Autre,POINT (2.94034632271164 48.3770365367942),21263
42,42,42,9,2.94034632271164,48.3770365367942,Missing,77482.0,varennes-sur-seine,allotments,Autre,POINT (2.94034632271164 48.3770365367942),21264
43,43,43,9,2.94034632271164,48.3770365367942,Missing,77482.0,varennes-sur-seine,allotments,Autre,POINT (2.94034632271164 48.3770365367942),21389
44,44,44,9,2.94034632271164,48.3770365367942,Missing,77482.0,varennes-sur-seine,allotments,Autre,POINT (2.94034632271164 48.3770365367942),21390
45,45,45,10,2.53238882287172,48.8134212604229,Missing,94017.0,champigny-sur-marne,allotments,Autre,POINT (2.53238882287172 48.8134212604229),15418
46,46,46,10,2.53238882287172,48.8134212604229,Missing,94017.0,champigny-sur-marne,allotments,Autre,POINT (2.53238882287172 48.8134212604229),15419
47,47,47,10,2.53238882287172,48.8134212604229,Missing,94017.0,champigny-sur-marne,allotments,Autre,POINT (2.53238882287172 48.8134212604229),15544
48,48,48,10,2.53238882287172,48.8134212604229,Missing,94017.0,champigny-sur-marne,allotments,Autre,POINT (2.53238882287172 48.8134212604229),15545
49,49,49,10,2.53238882287172,48.8134212604229,Missing,94017.0,champigny-sur-marne,allotments,Autre,POINT (2.53238882287172 48.8134212604229),15670
50,50,50,10,2.53238882287172,48.8134212604229,Missing,94017.0,champigny-sur-marne,allotments,Autre,POINT (2.53238882287172 48.8134212604229),15671
51,51,51,11,2.39053893498941,48.7723171409099,Missing,94081.0,vitry-sur-seine,allotments,Autre,POINT (2.39053893498941 48.7723171409099),13407
52,52,52,11,2.39053893498941,48.7723171409099,Missing,94081.0,vitry-sur-seine,allotments,Autre,POINT (2.39053893498941 48.7723171409099),13533
53,53,53,11,2.39053893498941,48.7723171409099,Missing,94081.0,vitry-sur-seine,allotments,Autre,POINT (2.39053893498941 48.7723171409099),13534
54,54,54,11,2.39053893498941,48.7723171409099,Missing,94081.0,vitry-sur-seine,allotments,Autre,POINT (2.39053893498941 48.7723171409099),13659
55,55,55,11,2.39053893498941,48.7723171409099,Missing,94081.0,vitry-sur-seine,allotments,Autre,POINT (2.39053893498941 48.7723171409099),13660
56,56,56,12,2.1920913484808,48.7601324935311,Missing,78322.0,jouy-en-josas,allotments,Autre,POINT (2.1920913484808 48.7601324935311),10637
57,57,57,12,2.1920913484808,48.7601324935311,Missing,78322.0,jouy-en-josas,allotments,Autre,POINT (2.1920913484808 48.7601324935311),10762
58,58,58,12,2.1920913484808,48.7601324935311,Missing,78322.0,jouy-en-josas,allotments,Autre,POINT (2.1920913484808 48.7601324935311),10763
59,59,59,12,2.1920913484808,48.7601324935311,Missing,78322.0,jouy-en-josas,allotments,Autre,POINT (2.1920913484808 48.7601324935311),10888
60,60,60,12,2.1920913484808,48.7601324935311,Missing,78322.0,jouy-en-josas,allotments,Autre,POINT (2.1920913484808 48.7601324935311),10889
61,61,61,13,2.19162200839759,48.7595733142006,Missing,78322.0,jouy-en-josas,allotments,Autre,POINT (2.19162200839759 48.7595733142006),10637
