,X,Y,ATM/Agence,com_insee,com_nom,Type,Type_détaillé,geometry,0
0,2.2429399,48.8336246997336,atm,92012,Boulogne-Billancourt,banque,LCL,POINT (2.2429399 48.8336246997336),11384
0,2.2429399,48.8336246997336,atm,92012,Boulogne-Billancourt,banque,LCL,POINT (2.2429399 48.8336246997336),11385
0,2.2429399,48.8336246997336,atm,92012,Boulogne-Billancourt,banque,LCL,POINT (2.2429399 48.8336246997336),11510
0,2.2429399,48.8336246997336,atm,92012,Boulogne-Billancourt,banque,LCL,POINT (2.2429399 48.8336246997336),11511
0,2.2429399,48.8336246997336,atm,92012,Boulogne-Billancourt,banque,LCL,POINT (2.2429399 48.8336246997336),11636
0,2.2429399,48.8336246997336,atm,92012,Boulogne-Billancourt,banque,LCL,POINT (2.2429399 48.8336246997336),11637
1,2.2428508,48.8335971997336,bank,92012,Boulogne-Billancourt,banque,LCL,POINT (2.2428508 48.8335971997336),11384
1,2.2428508,48.8335971997336,bank,92012,Boulogne-Billancourt,banque,LCL,POINT (2.2428508 48.8335971997336),11385
1,2.2428508,48.8335971997336,bank,92012,Boulogne-Billancourt,banque,LCL,POINT (2.2428508 48.8335971997336),11510
1,2.2428508,48.8335971997336,bank,92012,Boulogne-Billancourt,banque,LCL,POINT (2.2428508 48.8335971997336),11511
1,2.2428508,48.8335971997336,bank,92012,Boulogne-Billancourt,banque,LCL,POINT (2.2428508 48.8335971997336),11636
1,2.2428508,48.8335971997336,bank,92012,Boulogne-Billancourt,banque,LCL,POINT (2.2428508 48.8335971997336),11637
2,2.0403539,48.9307931997095,bank,78498,Poissy,banque,CIC,POINT (2.0403539 48.9307931997095),8601
2,2.0403539,48.9307931997095,bank,78498,Poissy,banque,CIC,POINT (2.0403539 48.9307931997095),8602
2,2.0403539,48.9307931997095,bank,78498,Poissy,banque,CIC,POINT (2.0403539 48.9307931997095),8727
2,2.0403539,48.9307931997095,bank,78498,Poissy,banque,CIC,POINT (2.0403539 48.9307931997095),8728
3,2.0417986,48.9300739997096,bank,78498,Poissy,banque,BNP Paribas,POINT (2.0417986 48.9300739997096),8601
3,2.0417986,48.9300739997096,bank,78498,Poissy,banque,BNP Paribas,POINT (2.0417986 48.9300739997096),8602
3,2.0417986,48.9300739997096,bank,78498,Poissy,banque,BNP Paribas,POINT (2.0417986 48.9300739997096),8727
3,2.0417986,48.9300739997096,bank,78498,Poissy,banque,BNP Paribas,POINT (2.0417986 48.9300739997096),8728
4,2.2444556,48.8321798997339,atm,92012,Boulogne-Billancourt,banque,Caisse d'Epargne,POINT (2.2444556 48.8321798997339),11384
4,2.2444556,48.8321798997339,atm,92012,Boulogne-Billancourt,banque,Caisse d'Epargne,POINT (2.2444556 48.8321798997339),11385
4,2.2444556,48.8321798997339,atm,92012,Boulogne-Billancourt,banque,Caisse d'Epargne,POINT (2.2444556 48.8321798997339),11510
4,2.2444556,48.8321798997339,atm,92012,Boulogne-Billancourt,banque,Caisse d'Epargne,POINT (2.2444556 48.8321798997339),11511
4,2.2444556,48.8321798997339,atm,92012,Boulogne-Billancourt,banque,Caisse d'Epargne,POINT (2.2444556 48.8321798997339),11636
4,2.2444556,48.8321798997339,atm,92012,Boulogne-Billancourt,banque,Caisse d'Epargne,POINT (2.2444556 48.8321798997339),11637
5,2.244317,48.8324274997339,bank,92012,Boulogne-Billancourt,banque,Missing,POINT (2.244317 48.8324274997339),11384
5,2.244317,48.8324274997339,bank,92012,Boulogne-Billancourt,banque,Missing,POINT (2.244317 48.8324274997339),11385
5,2.244317,48.8324274997339,bank,92012,Boulogne-Billancourt,banque,Missing,POINT (2.244317 48.8324274997339),11510
5,2.244317,48.8324274997339,bank,92012,Boulogne-Billancourt,banque,Missing,POINT (2.244317 48.8324274997339),11511
5,2.244317,48.8324274997339,bank,92012,Boulogne-Billancourt,banque,Missing,POINT (2.244317 48.8324274997339),11636
5,2.244317,48.8324274997339,bank,92012,Boulogne-Billancourt,banque,Missing,POINT (2.244317 48.8324274997339),11637
6,2.2443689,48.8323844997339,atm,92012,Boulogne-Billancourt,banque,Missing,POINT (2.2443689 48.8323844997339),11384
6,2.2443689,48.8323844997339,atm,92012,Boulogne-Billancourt,banque,Missing,POINT (2.2443689 48.8323844997339),11385
6,2.2443689,48.8323844997339,atm,92012,Boulogne-Billancourt,banque,Missing,POINT (2.2443689 48.8323844997339),11510
6,2.2443689,48.8323844997339,atm,92012,Boulogne-Billancourt,banque,Missing,POINT (2.2443689 48.8323844997339),11511
6,2.2443689,48.8323844997339,atm,92012,Boulogne-Billancourt,banque,Missing,POINT (2.2443689 48.8323844997339),11636
6,2.2443689,48.8323844997339,atm,92012,Boulogne-Billancourt,banque,Missing,POINT (2.2443689 48.8323844997339),11637
7,2.2444582,48.8322514997339,bank,92012,Boulogne-Billancourt,banque,Caisse d'Epargne,POINT (2.2444582 48.8322514997339),11384
7,2.2444582,48.8322514997339,bank,92012,Boulogne-Billancourt,banque,Caisse d'Epargne,POINT (2.2444582 48.8322514997339),11385
7,2.2444582,48.8322514997339,bank,92012,Boulogne-Billancourt,banque,Caisse d'Epargne,POINT (2.2444582 48.8322514997339),11510
7,2.2444582,48.8322514997339,bank,92012,Boulogne-Billancourt,banque,Caisse d'Epargne,POINT (2.2444582 48.8322514997339),11511
7,2.2444582,48.8322514997339,bank,92012,Boulogne-Billancourt,banque,Caisse d'Epargne,POINT (2.2444582 48.8322514997339),11636
7,2.2444582,48.8322514997339,bank,92012,Boulogne-Billancourt,banque,Caisse d'Epargne,POINT (2.2444582 48.8322514997339),11637
8,2.3428231,48.8512712997292,bank,75056,Paris,banque,LCL,POINT (2.3428231 48.8512712997292),12768
8,2.3428231,48.8512712997292,bank,75056,Paris,banque,LCL,POINT (2.3428231 48.8512712997292),12769
8,2.3428231,48.8512712997292,bank,75056,Paris,banque,LCL,POINT (2.3428231 48.8512712997292),12894
8,2.3428231,48.8512712997292,bank,75056,Paris,banque,LCL,POINT (2.3428231 48.8512712997292),12895
8,2.3428231,48.8512712997292,bank,75056,Paris,banque,LCL,POINT (2.3428231 48.8512712997292),13020
8,2.3428231,48.8512712997292,bank,75056,Paris,banque,LCL,POINT (2.3428231 48.8512712997292),13021
9,2.3479283,48.8917408997192,atm,75056,Paris,banque,Missing,POINT (2.3479283 48.8917408997192),12889
9,2.3479283,48.8917408997192,atm,75056,Paris,banque,Missing,POINT (2.3479283 48.8917408997192),12890
9,2.3479283,48.8917408997192,atm,75056,Paris,banque,Missing,POINT (2.3479283 48.8917408997192),13015
9,2.3479283,48.8917408997192,atm,75056,Paris,banque,Missing,POINT (2.3479283 48.8917408997192),13016
9,2.3479283,48.8917408997192,atm,75056,Paris,banque,Missing,POINT (2.3479283 48.8917408997192),13142
10,2.6399491,48.8745199997234,atm,77479,Vaires-sur-Marne,banque,Missing,POINT (2.6399491 48.8745199997234),16924
10,2.6399491,48.8745199997234,atm,77479,Vaires-sur-Marne,banque,Missing,POINT (2.6399491 48.8745199997234),17049
10,2.6399491,48.8745199997234,atm,77479,Vaires-sur-Marne,banque,Missing,POINT (2.6399491 48.8745199997234),17050
10,2.6399491,48.8745199997234,atm,77479,Vaires-sur-Marne,banque,Missing,POINT (2.6399491 48.8745199997234),17176
11,2.6395019,48.8740446997236,atm,77479,Vaires-sur-Marne,banque,Missing,POINT (2.6395019 48.8740446997236),16924
11,2.6395019,48.8740446997236,atm,77479,Vaires-sur-Marne,banque,Missing,POINT (2.6395019 48.8740446997236),17049
11,2.6395019,48.8740446997236,atm,77479,Vaires-sur-Marne,banque,Missing,POINT (2.6395019 48.8740446997236),17050
11,2.6395019,48.8740446997236,atm,77479,Vaires-sur-Marne,banque,Missing,POINT (2.6395019 48.8740446997236),17176
12,2.6388583,48.8745242997235,atm,77479,Vaires-sur-Marne,banque,Missing,POINT (2.6388583 48.8745242997235),16924
12,2.6388583,48.8745242997235,atm,77479,Vaires-sur-Marne,banque,Missing,POINT (2.6388583 48.8745242997235),17049
12,2.6388583,48.8745242997235,atm,77479,Vaires-sur-Marne,banque,Missing,POINT (2.6388583 48.8745242997235),17050
12,2.6388583,48.8745242997235,atm,77479,Vaires-sur-Marne,banque,Missing,POINT (2.6388583 48.8745242997235),17176
13,2.8738904,48.9575410997029,atm,77284,Meaux,banque,Missing,POINT (2.8738904 48.9575410997029),20190
13,2.8738904,48.9575410997029,atm,77284,Meaux,banque,Missing,POINT (2.8738904 48.9575410997029),20191
13,2.8738904,48.9575410997029,atm,77284,Meaux,banque,Missing,POINT (2.8738904 48.9575410997029),20316
13,2.8738904,48.9575410997029,atm,77284,Meaux,banque,Missing,POINT (2.8738904 48.9575410997029),20317
13,2.8738904,48.9575410997029,atm,77284,Meaux,banque,Missing,POINT (2.8738904 48.9575410997029),20442
13,2.8738904,48.9575410997029,atm,77284,Meaux,banque,Missing,POINT (2.8738904 48.9575410997029),20443
14,2.3109747,48.8464974997304,bank,75056,Paris,banque,BNP Paribas,POINT (2.3109747 48.8464974997304),12265
14,2.3109747,48.8464974997304,bank,75056,Paris,banque,BNP Paribas,POINT (2.3109747 48.8464974997304),12390
14,2.3109747,48.8464974997304,bank,75056,Paris,banque,BNP Paribas,POINT (2.3109747 48.8464974997304),12391
14,2.3109747,48.8464974997304,bank,75056,Paris,banque,BNP Paribas,POINT (2.3109747 48.8464974997304),12516
14,2.3109747,48.8464974997304,bank,75056,Paris,banque,BNP Paribas,POINT (2.3109747 48.8464974997304),12517
14,2.3109747,48.8464974997304,bank,75056,Paris,banque,BNP Paribas,POINT (2.3109747 48.8464974997304),12643
15,2.3061606,48.8698841997246,atm,75056,Paris,banque,Missing,POINT (2.3061606 48.8698841997246),12262
15,2.3061606,48.8698841997246,atm,75056,Paris,banque,Missing,POINT (2.3061606 48.8698841997246),12263
15,2.3061606,48.8698841997246,atm,75056,Paris,banque,Missing,POINT (2.3061606 48.8698841997246),12388
15,2.3061606,48.8698841997246,atm,75056,Paris,banque,Missing,POINT (2.3061606 48.8698841997246),12389
15,2.3061606,48.8698841997246,atm,75056,Paris,banque,Missing,POINT (2.3061606 48.8698841997246),12514
15,2.3061606,48.8698841997246,atm,75056,Paris,banque,Missing,POINT (2.3061606 48.8698841997246),12515
16,2.3109952,48.8465596997304,atm,75056,Paris,banque,Missing,POINT (2.3109952 48.8465596997304),12265
16,2.3109952,48.8465596997304,atm,75056,Paris,banque,Missing,POINT (2.3109952 48.8465596997304),12390
16,2.3109952,48.8465596997304,atm,75056,Paris,banque,Missing,POINT (2.3109952 48.8465596997304),12391
16,2.3109952,48.8465596997304,atm,75056,Paris,banque,Missing,POINT (2.3109952 48.8465596997304),12516
16,2.3109952,48.8465596997304,atm,75056,Paris,banque,Missing,POINT (2.3109952 48.8465596997304),12517
16,2.3109952,48.8465596997304,atm,75056,Paris,banque,Missing,POINT (2.3109952 48.8465596997304),12643
17,2.318274,48.8411920997317,atm,75056,Paris,banque,Missing,POINT (2.318274 48.8411920997317),12392
17,2.318274,48.8411920997317,atm,75056,Paris,banque,Missing,POINT (2.318274 48.8411920997317),12517
17,2.318274,48.8411920997317,atm,75056,Paris,banque,Missing,POINT (2.318274 48.8411920997317),12518
17,2.318274,48.8411920997317,atm,75056,Paris,banque,Missing,POINT (2.318274 48.8411920997317),12643
17,2.318274,48.8411920997317,atm,75056,Paris,banque,Missing,POINT (2.318274 48.8411920997317),12644
18,2.3491753,48.8598446997271,atm,75056,Paris,banque,Missing,POINT (2.3491753 48.8598446997271),12893
18,2.3491753,48.8598446997271,atm,75056,Paris,banque,Missing,POINT (2.3491753 48.8598446997271),12894
18,2.3491753,48.8598446997271,atm,75056,Paris,banque,Missing,POINT (2.3491753 48.8598446997271),13019
18,2.3491753,48.8598446997271,atm,75056,Paris,banque,Missing,POINT (2.3491753 48.8598446997271),13020
18,2.3491753,48.8598446997271,atm,75056,Paris,banque,Missing,POINT (2.3491753 48.8598446997271),13145
18,2.3491753,48.8598446997271,atm,75056,Paris,banque,Missing,POINT (2.3491753 48.8598446997271),13146
19,2.3491801,48.8598530997271,atm,75056,Paris,banque,Missing,POINT (2.3491801 48.8598530997271),12893
19,2.3491801,48.8598530997271,atm,75056,Paris,banque,Missing,POINT (2.3491801 48.8598530997271),12894
19,2.3491801,48.8598530997271,atm,75056,Paris,banque,Missing,POINT (2.3491801 48.8598530997271),13019
19,2.3491801,48.8598530997271,atm,75056,Paris,banque,Missing,POINT (2.3491801 48.8598530997271),13020
19,2.3491801,48.8598530997271,atm,75056,Paris,banque,Missing,POINT (2.3491801 48.8598530997271),13145
19,2.3491801,48.8598530997271,atm,75056,Paris,banque,Missing,POINT (2.3491801 48.8598530997271),13146
20,2.2277475,48.8326129997338,bank,92012,Boulogne-Billancourt,banque,BRED/Banque populaire,POINT (2.2277475 48.8326129997338),11132
20,2.2277475,48.8326129997338,bank,92012,Boulogne-Billancourt,banque,BRED/Banque populaire,POINT (2.2277475 48.8326129997338),11133
20,2.2277475,48.8326129997338,bank,92012,Boulogne-Billancourt,banque,BRED/Banque populaire,POINT (2.2277475 48.8326129997338),11258
20,2.2277475,48.8326129997338,bank,92012,Boulogne-Billancourt,banque,BRED/Banque populaire,POINT (2.2277475 48.8326129997338),11259
20,2.2277475,48.8326129997338,bank,92012,Boulogne-Billancourt,banque,BRED/Banque populaire,POINT (2.2277475 48.8326129997338),11384
20,2.2277475,48.8326129997338,bank,92012,Boulogne-Billancourt,banque,BRED/Banque populaire,POINT (2.2277475 48.8326129997338),11385
21,2.3868254,48.8631165997263,bank,75056,Paris,banque,BRED/Banque populaire,POINT (2.3868254 48.8631165997263),13397
21,2.3868254,48.8631165997263,bank,75056,Paris,banque,BRED/Banque populaire,POINT (2.3868254 48.8631165997263),13523
21,2.3868254,48.8631165997263,bank,75056,Paris,banque,BRED/Banque populaire,POINT (2.3868254 48.8631165997263),13524
21,2.3868254,48.8631165997263,bank,75056,Paris,banque,BRED/Banque populaire,POINT (2.3868254 48.8631165997263),13649
22,2.4570423,48.8778282997226,bank,93048,Montreuil,banque,LCL,POINT (2.4570423 48.8778282997226),14403
22,2.4570423,48.8778282997226,bank,93048,Montreuil,banque,LCL,POINT (2.4570423 48.8778282997226),14404
22,2.4570423,48.8778282997226,bank,93048,Montreuil,banque,LCL,POINT (2.4570423 48.8778282997226),14529
22,2.4570423,48.8778282997226,bank,93048,Montreuil,banque,LCL,POINT (2.4570423 48.8778282997226),14530
22,2.4570423,48.8778282997226,bank,93048,Montreuil,banque,LCL,POINT (2.4570423 48.8778282997226),14655
22,2.4570423,48.8778282997226,bank,93048,Montreuil,banque,LCL,POINT (2.4570423 48.8778282997226),14656
23,2.4582458,48.8780455997226,bank,93048,Montreuil,banque,Société Générale,POINT (2.4582458 48.8780455997226),14403
23,2.4582458,48.8780455997226,bank,93048,Montreuil,banque,Société Générale,POINT (2.4582458 48.8780455997226),14404
23,2.4582458,48.8780455997226,bank,93048,Montreuil,banque,Société Générale,POINT (2.4582458 48.8780455997226),14529
23,2.4582458,48.8780455997226,bank,93048,Montreuil,banque,Société Générale,POINT (2.4582458 48.8780455997226),14530
23,2.4582458,48.8780455997226,bank,93048,Montreuil,banque,Société Générale,POINT (2.4582458 48.8780455997226),14655
23,2.4582458,48.8780455997226,bank,93048,Montreuil,banque,Société Générale,POINT (2.4582458 48.8780455997226),14656
24,2.2751179,48.8485515997299,bank,75056,Paris,banque,LCL,POINT (2.2751179 48.8485515997299),11886
24,2.2751179,48.8485515997299,bank,75056,Paris,banque,LCL,POINT (2.2751179 48.8485515997299),11887
24,2.2751179,48.8485515997299,bank,75056,Paris,banque,LCL,POINT (2.2751179 48.8485515997299),12012
24,2.2751179,48.8485515997299,bank,75056,Paris,banque,LCL,POINT (2.2751179 48.8485515997299),12013
25,2.2292101,48.8408212997318,bank,92012,Boulogne-Billancourt,banque,Crédit Agricole,POINT (2.2292101 48.8408212997318),11257
25,2.2292101,48.8408212997318,bank,92012,Boulogne-Billancourt,banque,Crédit Agricole,POINT (2.2292101 48.8408212997318),11258
25,2.2292101,48.8408212997318,bank,92012,Boulogne-Billancourt,banque,Crédit Agricole,POINT (2.2292101 48.8408212997318),11383
25,2.2292101,48.8408212997318,bank,92012,Boulogne-Billancourt,banque,Crédit Agricole,POINT (2.2292101 48.8408212997318),11384
26,2.3791263,48.8593323997272,atm,75056,Paris,banque,Missing,POINT (2.3791263 48.8593323997272),13271
26,2.3791263,48.8593323997272,atm,75056,Paris,banque,Missing,POINT (2.3791263 48.8593323997272),13272
26,2.3791263,48.8593323997272,atm,75056,Paris,banque,Missing,POINT (2.3791263 48.8593323997272),13397
26,2.3791263,48.8593323997272,atm,75056,Paris,banque,Missing,POINT (2.3791263 48.8593323997272),13398
26,2.3791263,48.8593323997272,atm,75056,Paris,banque,Missing,POINT (2.3791263 48.8593323997272),13523
26,2.3791263,48.8593323997272,atm,75056,Paris,banque,Missing,POINT (2.3791263 48.8593323997272),13524
27,2.379111,48.8593530997272,atm,75056,Paris,banque,Missing,POINT (2.379111 48.8593530997272),13271
27,2.379111,48.8593530997272,atm,75056,Paris,banque,Missing,POINT (2.379111 48.8593530997272),13272
27,2.379111,48.8593530997272,atm,75056,Paris,banque,Missing,POINT (2.379111 48.8593530997272),13397
27,2.379111,48.8593530997272,atm,75056,Paris,banque,Missing,POINT (2.379111 48.8593530997272),13398
27,2.379111,48.8593530997272,atm,75056,Paris,banque,Missing,POINT (2.379111 48.8593530997272),13523
27,2.379111,48.8593530997272,atm,75056,Paris,banque,Missing,POINT (2.379111 48.8593530997272),13524
28,2.2908077,48.8791016997223,bank,75056,Paris,banque,BRED/Banque populaire,POINT (2.2908077 48.8791016997223),12009
28,2.2908077,48.8791016997223,bank,75056,Paris,banque,BRED/Banque populaire,POINT (2.2908077 48.8791016997223),12135
28,2.2908077,48.8791016997223,bank,75056,Paris,banque,BRED/Banque populaire,POINT (2.2908077 48.8791016997223),12136
28,2.2908077,48.8791016997223,bank,75056,Paris,banque,BRED/Banque populaire,POINT (2.2908077 48.8791016997223),12261
28,2.2908077,48.8791016997223,bank,75056,Paris,banque,BRED/Banque populaire,POINT (2.2908077 48.8791016997223),12262
29,2.3261475,48.8353107997332,atm,75056,Paris,banque,Missing,POINT (2.3261475 48.8353107997332),12518
29,2.3261475,48.8353107997332,atm,75056,Paris,banque,Missing,POINT (2.3261475 48.8353107997332),12644
29,2.3261475,48.8353107997332,atm,75056,Paris,banque,Missing,POINT (2.3261475 48.8353107997332),12645
29,2.3261475,48.8353107997332,atm,75056,Paris,banque,Missing,POINT (2.3261475 48.8353107997332),12770
29,2.3261475,48.8353107997332,atm,75056,Paris,banque,Missing,POINT (2.3261475 48.8353107997332),12771
30,2.1717434,49.0706519996748,atm,95039,Auvers-sur-Oise,banque,LCL,POINT (2.1717434 49.0706519996748),10350
30,2.1717434,49.0706519996748,atm,95039,Auvers-sur-Oise,banque,LCL,POINT (2.1717434 49.0706519996748),10475
30,2.1717434,49.0706519996748,atm,95039,Auvers-sur-Oise,banque,LCL,POINT (2.1717434 49.0706519996748),10476
30,2.1717434,49.0706519996748,atm,95039,Auvers-sur-Oise,banque,LCL,POINT (2.1717434 49.0706519996748),10602
31,2.0354552,48.779633799747,atm,78423,Montigny-le-Bretonneux,banque,Missing,POINT (2.0354552 48.779633799747),8492
31,2.0354552,48.779633799747,atm,78423,Montigny-le-Bretonneux,banque,Missing,POINT (2.0354552 48.779633799747),8493
31,2.0354552,48.779633799747,atm,78423,Montigny-le-Bretonneux,banque,Missing,POINT (2.0354552 48.779633799747),8618
31,2.0354552,48.779633799747,atm,78423,Montigny-le-Bretonneux,banque,Missing,POINT (2.0354552 48.779633799747),8619
31,2.0354552,48.779633799747,atm,78423,Montigny-le-Bretonneux,banque,Missing,POINT (2.0354552 48.779633799747),8744
31,2.0354552,48.779633799747,atm,78423,Montigny-le-Bretonneux,banque,Missing,POINT (2.0354552 48.779633799747),8745
32,2.240275,49.1370542996585,atm,95134,Champagne-sur-Oise,banque,Société Générale,POINT (2.240275 49.1370542996585),11350
32,2.240275,49.1370542996585,atm,95134,Champagne-sur-Oise,banque,Société Générale,POINT (2.240275 49.1370542996585),11351
32,2.240275,49.1370542996585,atm,95134,Champagne-sur-Oise,banque,Société Générale,POINT (2.240275 49.1370542996585),11476
32,2.240275,49.1370542996585,atm,95134,Champagne-sur-Oise,banque,Société Générale,POINT (2.240275 49.1370542996585),11477
32,2.240275,49.1370542996585,atm,95134,Champagne-sur-Oise,banque,Société Générale,POINT (2.240275 49.1370542996585),11603
33,2.5427702,48.8237139997361,bank,94079,Villiers-sur-Marne,banque,BNP Paribas,POINT (2.5427702 48.8237139997361),15543
33,2.5427702,48.8237139997361,bank,94079,Villiers-sur-Marne,banque,BNP Paribas,POINT (2.5427702 48.8237139997361),15544
33,2.5427702,48.8237139997361,bank,94079,Villiers-sur-Marne,banque,BNP Paribas,POINT (2.5427702 48.8237139997361),15669
33,2.5427702,48.8237139997361,bank,94079,Villiers-sur-Marne,banque,BNP Paribas,POINT (2.5427702 48.8237139997361),15670
33,2.5427702,48.8237139997361,bank,94079,Villiers-sur-Marne,banque,BNP Paribas,POINT (2.5427702 48.8237139997361),15795
33,2.5427702,48.8237139997361,bank,94079,Villiers-sur-Marne,banque,BNP Paribas,POINT (2.5427702 48.8237139997361),15796
34,2.2338164,48.840100699732,bank,92012,Boulogne-Billancourt,banque,BNP Paribas,POINT (2.2338164 48.840100699732),11257
34,2.2338164,48.840100699732,bank,92012,Boulogne-Billancourt,banque,BNP Paribas,POINT (2.2338164 48.840100699732),11258
34,2.2338164,48.840100699732,bank,92012,Boulogne-Billancourt,banque,BNP Paribas,POINT (2.2338164 48.840100699732),11383
34,2.2338164,48.840100699732,bank,92012,Boulogne-Billancourt,banque,BNP Paribas,POINT (2.2338164 48.840100699732),11384
34,2.2338164,48.840100699732,bank,92012,Boulogne-Billancourt,banque,BNP Paribas,POINT (2.2338164 48.840100699732),11509
34,2.2338164,48.840100699732,bank,92012,Boulogne-Billancourt,banque,BNP Paribas,POINT (2.2338164 48.840100699732),11510
35,2.2336976,48.840119799732,atm,92012,Boulogne-Billancourt,banque,BNP Paribas,POINT (2.2336976 48.840119799732),11257
35,2.2336976,48.840119799732,atm,92012,Boulogne-Billancourt,banque,BNP Paribas,POINT (2.2336976 48.840119799732),11258
35,2.2336976,48.840119799732,atm,92012,Boulogne-Billancourt,banque,BNP Paribas,POINT (2.2336976 48.840119799732),11383
35,2.2336976,48.840119799732,atm,92012,Boulogne-Billancourt,banque,BNP Paribas,POINT (2.2336976 48.840119799732),11384
35,2.2336976,48.840119799732,atm,92012,Boulogne-Billancourt,banque,BNP Paribas,POINT (2.2336976 48.840119799732),11509
35,2.2336976,48.840119799732,atm,92012,Boulogne-Billancourt,banque,BNP Paribas,POINT (2.2336976 48.840119799732),11510
36,2.5415157,48.8273840997351,bank,94079,Villiers-sur-Marne,banque,Société Générale,POINT (2.5415157 48.8273840997351),15543
36,2.5415157,48.8273840997351,bank,94079,Villiers-sur-Marne,banque,Société Générale,POINT (2.5415157 48.8273840997351),15669
36,2.5415157,48.8273840997351,bank,94079,Villiers-sur-Marne,banque,Société Générale,POINT (2.5415157 48.8273840997351),15670
36,2.5415157,48.8273840997351,bank,94079,Villiers-sur-Marne,banque,Société Générale,POINT (2.5415157 48.8273840997351),15795
37,2.2342973,48.8403505997319,bank,92012,Boulogne-Billancourt,banque,Société Générale,POINT (2.2342973 48.8403505997319),11257
37,2.2342973,48.8403505997319,bank,92012,Boulogne-Billancourt,banque,Société Générale,POINT (2.2342973 48.8403505997319),11258
37,2.2342973,48.8403505997319,bank,92012,Boulogne-Billancourt,banque,Société Générale,POINT (2.2342973 48.8403505997319),11383
37,2.2342973,48.8403505997319,bank,92012,Boulogne-Billancourt,banque,Société Générale,POINT (2.2342973 48.8403505997319),11384
37,2.2342973,48.8403505997319,bank,92012,Boulogne-Billancourt,banque,Société Générale,POINT (2.2342973 48.8403505997319),11509
37,2.2342973,48.8403505997319,bank,92012,Boulogne-Billancourt,banque,Société Générale,POINT (2.2342973 48.8403505997319),11510
38,2.2310879,48.8403516997319,bank,92012,Boulogne-Billancourt,banque,LCL,POINT (2.2310879 48.8403516997319),11257
38,2.2310879,48.8403516997319,bank,92012,Boulogne-Billancourt,banque,LCL,POINT (2.2310879 48.8403516997319),11258
38,2.2310879,48.8403516997319,bank,92012,Boulogne-Billancourt,banque,LCL,POINT (2.2310879 48.8403516997319),11383
38,2.2310879,48.8403516997319,bank,92012,Boulogne-Billancourt,banque,LCL,POINT (2.2310879 48.8403516997319),11384
38,2.2310879,48.8403516997319,bank,92012,Boulogne-Billancourt,banque,LCL,POINT (2.2310879 48.8403516997319),11510
39,2.2341914,48.8403600997319,atm,92012,Boulogne-Billancourt,banque,Société Générale,POINT (2.2341914 48.8403600997319),11257
39,2.2341914,48.8403600997319,atm,92012,Boulogne-Billancourt,banque,Société Générale,POINT (2.2341914 48.8403600997319),11258
39,2.2341914,48.8403600997319,atm,92012,Boulogne-Billancourt,banque,Société Générale,POINT (2.2341914 48.8403600997319),11383
39,2.2341914,48.8403600997319,atm,92012,Boulogne-Billancourt,banque,Société Générale,POINT (2.2341914 48.8403600997319),11384
39,2.2341914,48.8403600997319,atm,92012,Boulogne-Billancourt,banque,Société Générale,POINT (2.2341914 48.8403600997319),11509
39,2.2341914,48.8403600997319,atm,92012,Boulogne-Billancourt,banque,Société Générale,POINT (2.2341914 48.8403600997319),11510
40,2.2310331,48.8403564997319,atm,92012,Boulogne-Billancourt,banque,LCL,POINT (2.2310331 48.8403564997319),11257
40,2.2310331,48.8403564997319,atm,92012,Boulogne-Billancourt,banque,LCL,POINT (2.2310331 48.8403564997319),11258
40,2.2310331,48.8403564997319,atm,92012,Boulogne-Billancourt,banque,LCL,POINT (2.2310331 48.8403564997319),11383
40,2.2310331,48.8403564997319,atm,92012,Boulogne-Billancourt,banque,LCL,POINT (2.2310331 48.8403564997319),11384
40,2.2310331,48.8403564997319,atm,92012,Boulogne-Billancourt,banque,LCL,POINT (2.2310331 48.8403564997319),11510
41,2.2293311,48.8407894997318,atm,92012,Boulogne-Billancourt,banque,Crédit Agricole,POINT (2.2293311 48.8407894997318),11257
41,2.2293311,48.8407894997318,atm,92012,Boulogne-Billancourt,banque,Crédit Agricole,POINT (2.2293311 48.8407894997318),11258
41,2.2293311,48.8407894997318,atm,92012,Boulogne-Billancourt,banque,Crédit Agricole,POINT (2.2293311 48.8407894997318),11383
41,2.2293311,48.8407894997318,atm,92012,Boulogne-Billancourt,banque,Crédit Agricole,POINT (2.2293311 48.8407894997318),11384
42,2.3554603,48.8606810997269,bank,75056,Paris,banque,LCL,POINT (2.3554603 48.8606810997269),13019
42,2.3554603,48.8606810997269,bank,75056,Paris,banque,LCL,POINT (2.3554603 48.8606810997269),13020
42,2.3554603,48.8606810997269,bank,75056,Paris,banque,LCL,POINT (2.3554603 48.8606810997269),13145
42,2.3554603,48.8606810997269,bank,75056,Paris,banque,LCL,POINT (2.3554603 48.8606810997269),13146
43,2.3552067,48.8605258997269,bank,75056,Paris,banque,CIC,POINT (2.3552067 48.8605258997269),13019
43,2.3552067,48.8605258997269,bank,75056,Paris,banque,CIC,POINT (2.3552067 48.8605258997269),13020
43,2.3552067,48.8605258997269,bank,75056,Paris,banque,CIC,POINT (2.3552067 48.8605258997269),13145
43,2.3552067,48.8605258997269,bank,75056,Paris,banque,CIC,POINT (2.3552067 48.8605258997269),13146
44,2.3790741,48.8765230997229,bank,75056,Paris,banque,Société Générale,POINT (2.3790741 48.8765230997229),13269
44,2.3790741,48.8765230997229,bank,75056,Paris,banque,Société Générale,POINT (2.3790741 48.8765230997229),13270
