,X,Y,nom,emplacements,com_insee,com_nom,Type,Type_détaillé,geometry,0
56,48.849365,2.2982056,La Motte-Picquet Grenelle,,,,taxi,Taxi,POINT (48.849365234375 2.298205614089966),
57,48.839878,2.302006,,,,,taxi,Taxi,POINT (48.83987808227539 2.3020060062408447),
58,48.844963,2.3117094,Sèvres–Lecourbe,,,,taxi,Taxi,POINT (48.84496307373047 2.311709403991699),
59,48.8581,2.27396,La Muette,,,,taxi,Taxi,POINT (48.85810089111328 2.2739601135253906),
60,48.837452,2.2575347,Porte de Saint-Cloud,,,,taxi,Taxi,POINT (48.83745193481445 2.2575347423553467),
61,48.86434,2.272589,Henri Martin,,,,taxi,Taxi,POINT (48.864341735839844 2.2725889682769775),
62,48.851265,2.2781107,Maison de la Radio,,,,taxi,Taxi,POINT (48.85126495361328 2.2781107425689697),
63,48.852295,2.2679684,Mozart Jasmin,,,,taxi,Taxi,POINT (48.852294921875 2.2679684162139893),
64,48.869766,2.2857978,Place Victor Hugo,,,,taxi,Taxi,POINT (48.86976623535156 2.2857978343963623),
65,48.86959,2.2848365,,,,,taxi,Taxi,POINT (48.869590759277344 2.284836530685425),
66,48.847652,2.2597456,Porte d'Auteuil,,,,taxi,Taxi,POINT (48.847652435302734 2.2597455978393555),
67,48.85532,2.3603752,Saint-Paul,,,,taxi,Taxi,POINT (48.85531997680664 2.360375165939331),
68,48.85871,2.284975,,,,,taxi,Taxi,POINT (48.85871124267578 2.284975051879883),
69,48.863403,2.286332,Trocadéro,,,,taxi,Taxi,POINT (48.8634033203125 2.28633189201355),
70,48.887177,2.3042595,Etoile - Wagram,,,,taxi,Taxi,POINT (48.887176513671875 2.3042595386505127),
71,48.884476,2.2976487,Maréchal Juin,,,,taxi,Taxi,POINT (48.88447570800781 2.2976486682891846),
72,48.879314,2.303365,Courcelles Chazelle,,,,taxi,Taxi,POINT (48.87931442260742 2.3033649921417236),
73,48.885452,2.291518,Porte de Champeret,,,,taxi,Taxi,POINT (48.88545227050781 2.291517972946167),
74,48.853615,2.3446186,Place Saint-Michel,,,,taxi,Taxi,POINT (48.853614807128906 2.344618558883667),
75,48.89797,2.3288805,Porte de Saint Ouen,,,,taxi,Taxi,POINT (48.89796829223633 2.328880548477173),
76,48.881527,2.3150623,Villiers - Courcelles,,,,taxi,Taxi,POINT (48.881526947021484 2.3150622844696045),
77,48.892506,2.3450966,Mairie du 18ème,,,,taxi,Taxi,POINT (48.89250564575195 2.3450965881347656),
78,48.89261,2.3274105,,,,,taxi,Taxi,POINT (48.892608642578125 2.3274104595184326),
79,48.899235,2.3701618,Porte d'Aubervilliers,,,,taxi,Taxi,POINT (48.899234771728516 2.370161771774292),
80,48.898144,2.3591845,Porte de la Chapelle,,,,taxi,Taxi,POINT (48.89814376831055 2.359184503555298),
81,49.022785,2.3632448,,,,,taxi,Taxi,POINT (49.02278518676758 2.3632447719573975),
82,48.807518,2.040498,,,,,taxi,Taxi,POINT (48.807518005371094 2.0404980182647705),
83,48.814873,2.422382,,,,,taxi,Taxi,POINT (48.81487274169922 2.422382116317749),
84,49.11468,2.209734,,,,,taxi,Taxi,POINT (49.114681243896484 2.2097339630126953),
85,49.09232,2.2022712,,,,,taxi,Taxi,POINT (49.09231948852539 2.2022712230682373),
86,48.972805,2.3067188,,,,,taxi,Taxi,POINT (48.97280502319336 2.3067188262939453),
87,48.995415,2.3687613,,,,,taxi,Taxi,POINT (48.99541473388672 2.3687613010406494),
88,49.0981,2.361616,,,,,taxi,Taxi,POINT (49.09809875488281 2.3616158962249756),
89,48.8301,2.2312207,,,,,taxi,Taxi,POINT (48.830101013183594 2.2312207221984863),
90,48.878002,2.3781295,,,,,taxi,Taxi,POINT (48.87800216674805 2.378129482269287),
91,48.887398,2.349216,Borne taxi rue Custine,,,,taxi,Taxi,POINT (48.88739776611328 2.3492159843444824),
92,48.94567,2.1439147,,,,,taxi,Taxi,POINT (48.94567108154297 2.1439146995544434),
93,48.852787,2.4060423,,,,,taxi,Taxi,POINT (48.852787017822266 2.4060423374176025),
94,48.892246,2.2878444,,,,,taxi,Taxi,POINT (48.89224624633789 2.28784441947937),
95,48.876423,2.3592622,,,,,taxi,Taxi,POINT (48.87642288208008 2.359262228012085),
96,48.866306,2.3244457,Concorde,,,,taxi,Taxi,POINT (48.86630630493164 2.3244457244873047),
97,48.865578,2.3559318,,,,,taxi,Taxi,POINT (48.865577697753906 2.3559317588806152),
98,48.84736,2.3122933,,,,,taxi,Taxi,POINT (48.84735870361328 2.312293291091919),
99,48.87662,2.3392718,,,,,taxi,Taxi,POINT (48.87662124633789 2.3392717838287354),
100,48.883255,2.3471916,,,,,taxi,Taxi,POINT (48.88325500488281 2.347191572189331),
101,48.84604,2.3780825,,,,,taxi,Taxi,POINT (48.846038818359375 2.378082513809204),
102,48.92365,2.2523532,,,,,taxi,Taxi,POINT (48.923648834228516 2.2523531913757324),
103,48.78705,2.0456548,Station de taxi,,,,taxi,Taxi,POINT (48.78704833984375 2.045654773712158),
104,48.794353,2.3488004,,,,,taxi,Taxi,POINT (48.79435348510742 2.3488004207611084),
105,48.84386,2.61609,,3.0,,,taxi,Taxi,POINT (48.8438606262207 2.6160900592803955),
106,48.838375,2.3607824,,,,,taxi,Taxi,POINT (48.838375091552734 2.3607823848724365),
107,48.867897,2.224344,,,,,taxi,Taxi,POINT (48.867897033691406 2.22434401512146),
108,48.843224,2.4013484,,,,,taxi,Taxi,POINT (48.843223571777344 2.401348352432251),
109,48.77109,2.5083601,,,,,taxi,Taxi,POINT (48.77109146118164 2.5083601474761963),
110,48.989822,1.7034647,,,,,taxi,Taxi,POINT (48.98982238769531 1.7034647464752197),
111,48.896008,2.2514489,Hôtel Mercure,,,,taxi,Taxi,POINT (48.8960075378418 2.2514488697052),
112,48.82411,2.2735999,,,,,taxi,Taxi,POINT (48.8241081237793 2.273599863052368),
113,48.842953,2.3751857,,,,,taxi,Taxi,POINT (48.842952728271484 2.37518572807312),
114,48.87096,2.7834885,Marne la Vallee - Chessy,,,,taxi,Taxi,POINT (48.8709602355957 2.7834885120391846),
115,48.859737,2.3466694,,,,,taxi,Taxi,POINT (48.859737396240234 2.3466694355010986),
116,48.86063,2.3466022,,,,,taxi,Taxi,POINT (48.86063003540039 2.346602201461792),
117,48.9803,2.180576,,,,,taxi,Taxi,POINT (48.98030090332031 2.1805760860443115),
